 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
188.185.208.98 - - [26/Apr/2019 11:50:20] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:50:29] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:50:29] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:50:39] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:50:40] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:50:48] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:50:49] "POST /update HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:50:50] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:50:51] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:50:51] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:50:52] "GET /? HTTP/1.1" 200 -
128.141.174.10 - - [26/Apr/2019 11:50:53] "GET /? HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:50:54] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:50:55] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:51:01] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:51:02] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:51:11] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:51:11] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:51:23] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:51:24] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:51:31] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:51:31] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:51:37] "POST /update HTTP/1.1" 200 -
188.185.208.98 - - [26/Apr/2019 11:51:37] "POST /update HTTP/1.1" 200 -
